index,Name,Link,HighSchool,City,State,Position,Height,Weight,Rating,NatRank,PosRank,StateRank,ClassYear
0,Da'Quan Bowers,https://247sports.com/Player/DaQuan-Bowers-24046,Bamberg-Ehrhardt,Bamberg,SC,DL,6-4,265,0.9997,1,1,1,2008
1,Terrelle Pryor,https://247sports.com/Player/Terrelle-Pryor-10648,Jeannette,Jeannette,PA,QB,6-6,233,0.9997,2,1,1,2008
2,Julio Jones,https://247sports.com/Player/Julio-Jones-10911,Foley,Foley,AL,WR,6-4,220,0.9992,3,1,1,2008
3,Darrell Scott,https://247sports.com/Player/Darrell-Scott-15789,St. Bonaventure,Ventura,CA,RB,6-0,204,0.998,4,1,1,2008
4,Will Hill,https://247sports.com/Player/Will-Hill-4830,St. Peters Prep,Jersey City,NJ,DB,6-1,207,0.9979,5,1,1,2008
5,Patrick Peterson,https://247sports.com/Player/Patrick-Peterson-24063,Blanche Ely,Pompano Beach,FL,DB,6-1,195,0.9977,6,1,1,2008
6,A.J. Green,https://247sports.com/Player/AJ-Green-5044,Summerville,Summerville,SC,WR,6-4,184,0.9973,7,2,2,2008
7,Arthur Brown,https://247sports.com/Player/Arthur-Brown-15416,East,Wichita,KS,LB,6-1,210,0.996,8,1,1,2008
8,Jermie Calhoun,https://247sports.com/Player/Jermie-Calhoun-24432,Van Horn,Van Horn,TX,RB,6-0,210,0.9945,9,2,1,2008
9,R.J. Washington,https://247sports.com/Player/RJ-Washington-21490,Fossil Ridge,Keller,TX,DL,6-3,248,0.9941,10,2,2,2008
10,Marcus Forston,https://247sports.com/Player/Marcus-Forston-11169,Northwestern,Miami,FL,DL,6-3,286,0.994,11,1,2,2008
11,DeAndre Brown,https://247sports.com/Player/DeAndre-Brown-24083,Ocean Springs,Pascagoula,MS,WR,6-6,205,0.9931,12,3,1,2008
12,Jonathan Baldwin,https://247sports.com/Player/Jonathan-Baldwin-24431,Aliquippa,Aliquippa,PA,WR,6-6,233,0.9914,13,4,2,2008
