index,Name,Link,HighSchool,City,State,Position,Height,Weight,Rating,NatRank,PosRank,StateRank,ClassYear
13,Michael Floyd,https://247sports.com/Player/Michael-Floyd-7886,Cretin Derham Hall,Saint Paul,MN,WR,6-3,195,0.9914,14,5,1,2008
14,Michael Brewster,https://247sports.com/Player/Michael-Brewster-10590,Edgewater,Orlando,FL,OL,6-5,293,0.9911,15,1,3,2008
15,Blake Ayles,https://247sports.com/Player/Blake-Ayles-5663,Orange Lutheran,Orange,CA,TE,6-4,245,0.9911,16,1,2,2008
16,Omar Hunter,https://247sports.com/Player/Omar-Hunter-4833,Buford,Buford,GA,DL,6-1,300,0.9904,17,2,1,2008
17,Richard Samuel,https://247sports.com/Player/Richard-Samuel-5092,Cass,Cartersville,GA,RB,6-0,197,0.9901,18,3,2,2008
18,Nigel Bradham,https://247sports.com/Player/Nigel-Bradham-6003,Wakulla,Crawfordville,FL,LB,6-2,230,0.9893,19,1,4,2008
19,Matt Kalil,https://247sports.com/Player/Matt-Kalil-5710,Servite,Anaheim,CA,OL,6-7,281,0.9892,20,1,3,2008
20,Mike Adams,https://247sports.com/Player/Mike-Adams-10565,Dublin Coffman,Dublin,OH,OL,6-8,300,0.9887,21,2,1,2008
21,Dayne Crist,https://247sports.com/Player/Dayne-Crist-7877,Notre Dame,Sherman Oaks,CA,QB,6-5,228,0.9886,22,1,4,2008
22,Tyler Love,https://247sports.com/Player/Tyler-Love-10703,Mountain Brook,Birmingham,AL,OL,6-6,307,0.9884,23,3,2,2008
23,Etienne Sabino,https://247sports.com/Player/Etienne-Sabino-10683,Dr Michael M. Krop,Miami,FL,LB,6-3,240,0.987,24,2,5,2008
24,Brandon Harris,https://247sports.com/Player/Brandon-Harris-8763,Booker T. Washington,Miami,FL,DB,5-11,174,0.9864,25,2,6,2008
25,EJ Manuel,https://247sports.com/Player/EJ-Manuel-6049,Bayside,Virginia Beach,VA,QB,6-5,220,0.9849,26,2,1,2008
26,B.J. Scott,https://247sports.com/Player/BJ-Scott-10741,Vigor,Mobile,AL,DB,5-11,193,0.9846,27,3,3,2008
27,DeAngelo Tyson,https://247sports.com/Player/DeAngelo-Tyson-5105,Statesboro,Statesboro,GA,DL,6-2,276,0.9834,28,3,3,2008
28,Kyle Rudolph,https://247sports.com/Player/Kyle-Rudolph-7958,Elder,Cincinnati,OH,TE,6-6,229,0.9832,29,2,2,2008
29,Tyron Smith,https://247sports.com/Player/Tyron-Smith-5749,Rancho Verde,Moreno Valley,CA,OL,6-5,260,0.983,30,4,5,2008
30,Matt Patchan,https://247sports.com/Player/Matt-Patchan-4859,Armwood,Seffner,FL,OL,6-6,295,0.9826,31,5,7,2008
31,Aldarius Johnson,https://247sports.com/Player/Aldarius-Johnson-11503,Northwestern,Miami,FL,WR,6-2,200,0.9821,32,6,8,2008
32,Kavario Middleton,https://247sports.com/Player/Kavario-Middleton-24101,Lakes,Lakewood,WA,TE,6-6,255,0.982,33,3,1,2008
33,Baker Steinkuhler,https://247sports.com/Player/Baker-Steinkuhler-11725,Southwest,Lincoln,NE,OL,6-6,290,0.9812,34,6,1,2008
34,Blaine Gabbert,https://247sports.com/Player/Blaine-Gabbert-24143,West,Ballwin,MO,QB,6-4,266,0.9806,35,2,1,2008
35,Ethan Johnson,https://247sports.com/Player/Ethan-Johnson-7919,Lincoln,Portland,OR,DL,6-4,285,0.9805,36,3,1,2008
36,Stephen Good,https://247sports.com/Player/Stephen-Good-24158,Paris,Paris,TX,OL,6-5,297,0.9798,37,7,3,2008
37,Dan Buckner,https://247sports.com/Player/Dan-Buckner-4692,Allen,Allen,TX,WR,6-4,209,0.9791,38,7,4,2008
38,T.J. Bryant,https://247sports.com/Player/TJ-Bryant-5673,Lincoln,Tallahassee,FL,DB,6-1,175,0.9788,39,4,9,2008
39,Ryan Williams,https://247sports.com/Player/Ryan-Williams-24274,Unity Reed,Manassas,VA,RB,5-10,195,0.9787,40,4,2,2008
40,Jamie Harper,https://247sports.com/Player/Jamie-Harper-5504,Trinity Christian Academy,Jacksonville,FL,RB,6-0,235,0.9784,41,5,10,2008
41,Andrew Luck,https://247sports.com/Player/Andrew-Luck-23337,Stratford,Houston,TX,QB,6-4,215,0.9782,42,3,5,2008
42,Joshua Jarboe,https://247sports.com/Player/Joshua-Jarboe-24270,Cedar Grove,Ellenwood,GA,WR,6-3,195,0.9782,43,8,4,2008
43,J.B. Shugarts,https://247sports.com/Player/JB-Shugarts-10660,Klein,Spring,TX,OL,6-7,297,0.9779,44,8,6,2008
44,Ramon Buchanan,https://247sports.com/Player/Ramon-Buchanan-10948,Palm Bay Senior,Melbourne,FL,LB,6-1,181,0.9777,45,3,11,2008
45,Lucas Nix,https://247sports.com/Player/Lucas-Nix-24098,Thomas Jefferson,Jefferson,PA,OL,6-6,295,0.9776,46,9,3,2008
46,Mike Glennon,https://247sports.com/Player/Mike-Glennon-24271,Westfield,Chantilly,VA,QB,6-6,195,0.9773,47,4,3,2008
47,Darryl Stonum,https://247sports.com/Player/Darryl-Stonum-16170,Dulles,Sugar Land,TX,WR,6-2,180,0.9772,48,9,7,2008
48,DeVier Posey,https://247sports.com/Player/DeVier-Posey-10650,LaSalle,Cincinnati,OH,WR,6-2,213,0.9769,49,10,3,2008
49,Brice Butler,https://247sports.com/Player/Brice-Butler-5675,Norcross,Norcross,GA,WR,6-2,178,0.9769,50,11,5,2008
50,Devoe Torrence,https://247sports.com/Player/Devoe-Torrence-24429,Washington,Massillon,OH,WR,6-2,210,0.9764,51,1,4,2008
51,Jerrell Harris,https://247sports.com/Player/Jerrell-Harris-10895,Gadsden City,Gadsden,AL,LB,6-3,242,0.9758,52,4,4,2008
52,DeSean Hales,https://247sports.com/Player/DeSean-Hales-4599,Klein Oak,Spring,TX,WR,5-10,165,0.9756,53,12,8,2008
53,D.J. Shoemate,https://247sports.com/Player/DJ-Shoemate-24134,Servite,Anaheim,CA,WR,6-0,219,0.9755,54,13,6,2008
54,Janoris Jenkins,https://247sports.com/Player/Janoris-Jenkins-4835,Pahokee,Pahokee,FL,DB,5-11,180,0.9744,55,5,12,2008
55,Jameel Owens,https://247sports.com/Player/Jameel-Owens-24269,Muskogee,Muskogee,OK,WR,6-3,210,0.9744,56,14,1,2008
56,Jordan Futch,https://247sports.com/Player/Jordan-Futch-8944,Chaminade-Madonna Prep,Hollywood,FL,LB,6-3,240,0.974,57,5,13,2008
57,Chancey Aghayere,https://247sports.com/Player/Chancey-Aghayere-22103,Garland,Garland,TX,DL,6-5,244,0.9735,58,4,9,2008
58,Dee Finley,https://247sports.com/Player/Dee-Finley-4813,Auburn,Auburn,AL,DB,6-2,222,0.9724,59,2,5,2008
59,Nick Perry,https://247sports.com/Player/Nick-Perry-24157,Martin Luther King,Detroit,MI,DL,6-4,235,0.9713,60,1,1,2008
60,Brandon Thompson,https://247sports.com/Player/Brandon-Thompson-5551,Thomasville,Thomasville,GA,DL,6-2,290,0.9713,61,4,6,2008
61,Jarvis Humphrey,https://247sports.com/Player/Jarvis-Humphrey-24194,Cedar Hill,Chatfield,TX,DL,6-2,290,0.9711,62,5,10,2008
62,Darius Fleming,https://247sports.com/Player/Darius-Fleming-7885,St. Rita,Chicago,IL,LB,6-3,230,0.9705,63,6,1,2008
63,Lynn Katoa,https://247sports.com/Player/Lynn-Katoa-24132,Cottonwood,Salt Lake City,UT,LB,6-2,220,0.97,64,2,1,2008
64,Sean Spence,https://247sports.com/Player/Sean-Spence-8948,Northwestern,Miami,FL,LB,6-0,186,0.9694,65,7,14,2008
65,William Green,https://247sports.com/Player/William-Green-4819,Spain Park,Birmingham,AL,DL,6-4,255,0.9684,66,5,6,2008
66,Shayne Hale,https://247sports.com/Player/Shayne-Hale-24131,Gateway,Monroeville,PA,DL,6-3,235,0.9683,67,2,4,2008
67,Nigel Carr,https://247sports.com/Player/Nigel-Carr-6008,First Coast,Jacksonville,FL,LB,6-3,220,0.9675,68,3,15,2008
68,Justin Johnson,https://247sports.com/Player/Justin-Johnson-24055,Gilmer,Gilmer,TX,RB,6-1,210,0.9673,69,6,11,2008
69,Cyrus Gray,https://247sports.com/Player/Cyrus-Gray-5274,DeSoto,DeSoto,TX,RB,5-11,190,0.9668,70,7,12,2008
70,Mark Barron,https://247sports.com/Player/Mark-Barron-10744,St. Paul's Episcopal,Mobile,AL,DB,6-2,218,0.9665,71,3,7,2008
71,Dann O'Neill,https://247sports.com/Player/Dann-ONeill-24299,Grand Haven,Grand Haven,MI,OL,6-8,290,0.9664,72,10,2,2008
72,Gerell Robinson,https://247sports.com/Player/Gerell-Robinson-24265,Hamilton,Chandler,AZ,QB,6-4,210,0.9663,73,2,1,2008
73,Davon Johnson,https://247sports.com/Player/Davon-Johnson-14354,Booker T. Washington,Miami,FL,WR,5-11,163,0.9659,74,15,16,2008
74,Marcus Robinson,https://247sports.com/Player/Marcus-Robinson-15410,Homestead,Homestead,FL,DL,6-2,210,0.9646,75,3,17,2008
75,C.C. Whitlock,https://247sports.com/Player/CC-Whitlock-6868,Chester,Chester,SC,DB,5-10,170,0.9645,76,6,3,2008
76,Aundre Dean,https://247sports.com/Player/Aundre-Dean-24161,Katy,Katy,TX,RB,6-1,200,0.9638,77,8,13,2008
77,Jake Stoneburner,https://247sports.com/Player/Jake-Stoneburner-10659,Dublin Coffman,Dublin,OH,TE,6-5,245,0.9637,78,4,5,2008
78,A.J. Harmon,https://247sports.com/Player/AJ-Harmon-5048,Jefferson County,Louisville,GA,OL,6-4,308,0.9634,79,11,7,2008
79,Garrett Goebel,https://247sports.com/Player/Garrett-Goebel-10624,Montini Catholic,Lombard,IL,DL,6-3,281,0.9626,80,6,2,2008
80,Toby Jackson,https://247sports.com/Player/Toby-Jackson-8893,Griffin,Griffin,GA,DL,6-4,244,0.9622,81,6,8,2008
81,Antoine McClain,https://247sports.com/Player/Antoine-McClain-5521,Anniston,Anniston,AL,OL,6-6,315,0.9622,82,12,8,2008
82,Brendan Beal,https://247sports.com/Player/Brendan-Beal-24144,Liberty,Bethlehem,PA,LB,6-4,235,0.962,83,4,5,2008
83,Jon Major,https://247sports.com/Player/Jon-Major-24180,Ponderosa,Parker,CO,LB,6-2,220,0.9612,84,5,1,2008
84,Trevor Robinson,https://247sports.com/Player/Trevor-Robinson-7956,Elkhorn,Elkhorn,NE,OL,6-6,304,0.96,85,1,2,2008
85,T.J. Lawrence,https://247sports.com/Player/TJ-Lawrence-4845,Kathleen,Lakeland,FL,WR,6-1,185,0.959,86,16,18,2008
86,Matt Meyer,https://247sports.com/Player/Matt-Meyer-24246,Lincoln,Stockton,CA,OL,6-7,290,0.9587,87,13,7,2008
87,Steve Filer,https://247sports.com/Player/Steve-Filer-7882,Mount Carmel,Chicago,IL,LB,6-3,220,0.9587,88,8,3,2008
88,Uona Kaveinga,https://247sports.com/Player/Uona-Kaveinga-24294,Leuzinger,Lawndale,CA,LB,6-1,226,0.9584,89,6,8,2008
89,Deion Walker,https://247sports.com/Player/Deion-Walker-7973,Christchurch School,Church View,VA,WR,6-4,186,0.9572,90,17,4,2008
90,De'Anthony Curtis,https://247sports.com/Player/DeAnthony-Curtis-14058,Camden Fairview,Camden,AR,DB,5-9,211,0.9568,91,7,1,2008
91,Jonas Gray,https://247sports.com/Player/Jonas-Gray-7913,Detroit Country Day,Franklin,MI,RB,5-10,213,0.9565,92,9,3,2008
92,Neiko Thorpe,https://247sports.com/Player/Neiko-Thorpe-14506,Tucker,Tucker,GA,DB,6-2,185,0.9548,93,4,9,2008
93,David Snow,https://247sports.com/Player/David-Snow-4653,Gilmer,Gilmer,TX,OL,6-4,300,0.9546,94,2,14,2008
94,Tavarres King,https://247sports.com/Player/Tavarres-King-5060,Habersham Central,Mount Airy,GA,WR,6-1,169,0.9544,95,18,10,2008
95,Derrick Hall,https://247sports.com/Player/Derrick-Hall-4442,Beaumont Central,Corsicana,TX,WR,5-10,200,0.9538,96,3,15,2008
96,E.J. Woods,https://247sports.com/Player/EJ-Woods-24296,Crespi,Encino,CA,DB,6-0,195,0.952,97,5,9,2008
97,Aaron Williams,https://247sports.com/Player/Aaron-Williams-4668,McNeil,Austin,TX,DB,6-1,175,0.9517,98,8,16,2008
98,Kenny Tate,https://247sports.com/Player/Kenny-Tate-23748,DeMatha Catholic,Hyattsville,MD,LB,6-4,220,0.9516,99,7,1,2008
99,Lerentee McCray,https://247sports.com/Player/Lerentee-McCray-4849,Dunnellon,Dunnellon,FL,LB,6-2,252,0.9516,100,9,19,2008
100,Courtney Upshaw,https://247sports.com/Player/Courtney-Upshaw-10785,Eufaula,Eufaula,AL,LB,6-2,265,0.95,101,10,9,2008
101,Landry Jones,https://247sports.com/Player/Landry-Jones-15768,Artesia,Artesia,NM,QB,6-4,229,0.9497,102,5,1,2008
102,Andrew Sweat,https://247sports.com/Player/Andrew-Sweat-10658,Trinity,Washington,PA,LB,6-2,238,0.9484,103,11,6,2008
103,C.J. Holton,https://247sports.com/Player/CJ-Holton-14635,Wakulla,Crawfordville,FL,DB,6-2,195,0.9476,104,6,20,2008
104,D.J. Grant,https://247sports.com/Player/DJ-Grant-4598,Lyndon B Johnson,Waco,TX,WR,6-3,205,0.9475,105,19,17,2008
105,Spencer Adams,https://247sports.com/Player/Spencer-Adams-5458,Butler,Matthews,NC,DB,6-2,180,0.9473,106,7,1,2008
106,Andre Ellington,https://247sports.com/Player/Andre-Ellington-5492,Berkeley,Moncks Corner,SC,RB,5-10,175,0.9471,107,1,4,2008
107,Rahim Moore,https://247sports.com/Player/Rahim-Moore-5838,Dorsey,Los Angeles,CA,DB,6-1,196,0.9468,108,8,10,2008
108,Khaled Holmes,https://247sports.com/Player/Khaled-Holmes-5704,Mater Dei,Santa Ana,CA,OL,6-4,301,0.9457,109,3,11,2008
109,J.B. Fitzgerald,https://247sports.com/Player/JB-Fitzgerald-16214,West Windsor-Plainsboro South,Princeton Junction,NJ,LB,6-4,225,0.9449,110,12,2,2008
110,Nolan Brewster,https://247sports.com/Player/Nolan-Brewster-4575,Mullen,Denver,CO,DB,6-1,195,0.9446,111,9,2,2008
111,Mark Ingram,https://247sports.com/Player/Mark-Ingram-10901,Southwestern Commencement Academy,Flint,MI,RB,5-10,215,0.9444,112,10,4,2008
112,Alonzo Lawrence,https://247sports.com/Player/Alonzo-Lawrence-24156,George County,Lucedale,MS,DB,6-1,185,0.944,113,9,2,2008
113,Lamaar Thomas,https://247sports.com/Player/Lamaar-Thomas-24159,Friendly,Fort Washington,MD,WR,5-11,180,0.944,114,4,2,2008
114,Jamoris Slaughter,https://247sports.com/Player/Jamoris-Slaughter-7962,Tucker,Tucker,GA,DB,6-1,185,0.9439,115,10,11,2008
115,Brandon Moore,https://247sports.com/Player/Brandon-Moore-16272,Trotwood-Madison,Dayton,OH,TE,6-6,243,0.9436,116,5,6,2008
116,Braxston Cave,https://247sports.com/Player/Braxston-Cave-7872,Penn,Mishawaka,IN,OL,6-4,295,0.9419,117,2,1,2008
117,Dravannti Johnson,https://247sports.com/Player/Dravannti-Johnson-4616,Nederland,Nederland,TX,LB,6-2,230,0.9416,118,13,18,2008
118,Tyler Westphal,https://247sports.com/Player/Tyler-Westphal-24192,Menasha,Menasha,WI,DL,6-6,230,0.9393,119,4,1,2008
119,Robert Golden,https://247sports.com/Player/Robert-Golden-4714,Edison,Fresno,CA,DB,5-11,200,0.9393,120,10,12,2008
120,Jeff Fuller,https://247sports.com/Player/Jeff-Fuller-5266,Boyd,McKinney,TX,WR,6-4,205,0.9387,121,20,19,2008
121,Tony Dye,https://247sports.com/Player/Tony-Dye-5793,Santiago,Corona,CA,DB,5-11,180,0.9387,122,11,13,2008
122,Corey Liuget,https://247sports.com/Player/Corey-Liuget-5610,Hialeah,Hialeah,FL,DL,6-3,300,0.9382,123,7,21,2008
123,Dwayne Allen,https://247sports.com/Player/Dwayne-Allen-5459,Terry Sanford,Fayetteville,NC,TE,6-4,245,0.9381,124,6,2,2008
124,Christian Wilson,https://247sports.com/Player/Christian-Wilson-11568,Montour,Mckees Rocks,PA,DB,6-2,228,0.9379,125,5,7,2008
125,Benjamin Jones,https://247sports.com/Player/Benjamin-Jones-18472,Northwestern,Miami,FL,OL,6-6,270,0.9369,126,14,22,2008
126,Tyler Wilson,https://247sports.com/Player/Tyler-Wilson-14219,Greenwood,Greenwood,AR,QB,6-3,220,0.9366,127,6,2,2008
127,Chris Burns,https://247sports.com/Player/Chris-Burns-24293,Wilmington,New Wilmington,PA,RB,5-10,185,0.9366,128,11,8,2008
128,Chris Harper,https://247sports.com/Player/Chris-Harper-24365,Northwest,Wichita,KS,RB,6-2,231,0.9366,129,12,2,2008
129,Kye Staley,https://247sports.com/Player/Kye-Staley-24374,Guthrie,Guthrie,OK,WR,6-0,215,0.9365,130,6,2,2008
130,Rod Davis,https://247sports.com/Player/Rod-Davis-10016,Aldine Eisenhower,Fort Scott,KS,DL,6-0,300,0.9362,131,8,20,2008
131,Darius Barksdale,https://247sports.com/Player/Darius-Barksdale-18333,South Panola,Batesville,MS,RB,6-0,195,0.9358,132,13,3,2008
132,Charles Mitchell,https://247sports.com/Player/Charles-Mitchell-14245,Clarksdale,Clarksdale,MS,DB,5-11,205,0.9349,133,11,4,2008
133,Carlton Thomas,https://247sports.com/Player/Carlton-Thomas-5101,Frostproof,Frostproof,FL,RB,5-7,159,0.9341,134,14,23,2008
134,Ryan Baker,https://247sports.com/Player/Ryan-Baker-24295,Blountstown,Blountstown,FL,LB,6-0,210,0.934,135,14,24,2008
135,Xavier Brewer,https://247sports.com/Player/Xavier-Brewer-5472,Bartram Trail,Jacksonville,FL,DB,5-11,170,0.9337,136,12,25,2008
136,Boubacar Cissoko,https://247sports.com/Player/Boubacar-Cissoko-24142,Cass Technical,Detroit,MI,DB,5-8,171,0.9335,137,13,5,2008
137,Michael Mauti,https://247sports.com/Player/Michael-Mauti-5408,Mandeville,Mandeville,LA,LB,6-1,225,0.9334,138,15,1,2008
138,Vinston Painter,https://247sports.com/Player/Vinston-Painter-19073,Maury,Norfolk,VA,OL,6-6,310,0.9331,139,15,5,2008
139,Apaiata Tuihalamaka,https://247sports.com/Player/Apaiata-Tuihalamaka-4761,Junipero Serra,Gardena,CA,DL,6-3,258,0.933,140,7,14,2008
140,Brandon Barnes,https://247sports.com/Player/Brandon-Barnes-24334,Bunn,Bunn,NC,RB,6-0,185,0.9315,141,7,3,2008
141,Tommy Streeter,https://247sports.com/Player/Tommy-Streeter-8947,Northwestern,Miami,FL,WR,6-5,200,0.931,142,21,26,2008
142,Michael Zordich,https://247sports.com/Player/Michael-Zordich-5456,Cardinal Mooney,Youngstown,OH,LB,6-2,225,0.9307,143,16,7,2008
143,Kyle Parker,https://247sports.com/Player/Kyle-Parker-8444,Bartram Trail,Jacksonville,FL,QB,6-0,200,0.9305,144,7,27,2008
144,Nick Crissman,https://247sports.com/Player/Nick-Crissman-5790,Edison,Huntington Beach,CA,QB,6-3,210,0.9303,145,8,15,2008
145,Joe Adams,https://247sports.com/Player/Joe-Adams-14026,Central Arkansas Christian,Maumelle,AR,WR,5-11,190,0.9302,146,22,3,2008
146,Michael Yancich,https://247sports.com/Player/Michael-Yancich-5454,Trinity,Washington,PA,LB,6-1,220,0.9302,147,17,9,2008
147,Josh Jenkins,https://247sports.com/Player/Josh-Jenkins-24135,Parkersburg,Parkersburg,WV,OL,6-3,285,0.9298,148,4,1,2008
148,Stacy McGee,https://247sports.com/Player/Stacy-McGee-21491,Muskogee,Muskogee,OK,DL,6-4,289,0.9298,149,9,3,2008
149,Wes Horton,https://247sports.com/Player/Wes-Horton-5706,Notre Dame,Sherman Oaks,CA,DL,6-5,260,0.9297,150,5,16,2008
150,Terrell Manning,https://247sports.com/Player/Terrell-Manning-24275,Scotland County,Laurinburg,NC,LB,6-2,205,0.9296,151,18,4,2008
151,E.J. Abrams-Ward,https://247sports.com/Player/EJ-Abrams-Ward-24285,Thomasville,Thomasville,NC,WR,6-5,210,0.9295,152,8,5,2008
152,Joseph Ibiloye,https://247sports.com/Player/Joseph-Ibiloye-18928,South Garland,Garland,TX,LB,6-3,195,0.9284,153,19,21,2008
153,Bobby Massie,https://247sports.com/Player/Bobby-Massie-24298,Liberty Christian Academy,Lynchburg,VA,OL,6-8,335,0.9281,154,16,6,2008
154,Chase Clement,https://247sports.com/Player/Chase-Clement-22239,E D White Catholic,Thibodaux,LA,DL,6-5,241,0.928,155,8,2,2008
155,Bryce Givens,https://247sports.com/Player/Bryce-Givens-24292,Mullen,Denver,CO,OL,6-6,257,0.9279,156,17,3,2008
156,Travis Howard,https://247sports.com/Player/Travis-Howard-10637,Dr Michael M. Krop,Miami,FL,DB,6-0,190,0.9276,157,14,28,2008
157,Jarmon Fortson,https://247sports.com/Player/Jarmon-Fortson-6023,Carver,Columbus,GA,RB,6-3,220,0.9274,158,9,12,2008
158,Chris Tolliver,https://247sports.com/Player/Chris-Tolliver-24313,Rayville,Rayville,LA,WR,6-1,180,0.9273,159,23,3,2008
159,Marcus Dowtin,https://247sports.com/Player/Marcus-Dowtin-5026,Fork Union Military,HS,Other,LB,6-2,215,0.9271,160,20,7,2008
160,Barrett Jones,https://247sports.com/Player/Barrett-Jones-10908,Evangelical Christian,Ridgely,TN,OL,6-5,311,0.9269,161,5,1,2008
161,Chris Polk,https://247sports.com/Player/Chris-Polk-24276,Redlands East Valley,Redlands,CA,RB,5-11,205,0.9267,162,15,17,2008
162,Antoine Hicks,https://247sports.com/Player/Antoine-Hicks-24442,Mansfield Timberview,Arlington,TX,RB,6-2,193,0.9265,163,10,22,2008
163,Jeremy Brown,https://247sports.com/Player/Jeremy-Brown-4791,Boone,Orlando,FL,DB,5-10,185,0.9264,164,15,29,2008
164,Burton Scott,https://247sports.com/Player/Burton-Scott-55061,Vigor,Mobile,AL,RB,5-11,194,0.9264,165,11,10,2008
165,Travis Benjamin,https://247sports.com/Player/Travis-Benjamin-8964,Glades Central,Belle Glade,FL,WR,5-11,141,0.9259,166,24,30,2008
166,Karnell Hatcher,https://247sports.com/Player/Karnell-Hatcher-24370,Atlantic,Delray Beach,FL,DB,6-2,186,0.9258,167,12,31,2008
167,Brandon Taylor,https://247sports.com/Player/Brandon-Taylor-24331,Franklinton,Franklinton,LA,DB,6-0,176,0.9249,168,13,4,2008
168,Solomon Koehler,https://247sports.com/Player/Solomon-Koehler-24207,Castle,Kaneohe,HI,DL,6-2,305,0.9249,169,10,1,2008
169,Cornelius Washington,https://247sports.com/Player/Cornelius-Washington-5111,Burke County,Waynesboro,GA,LB,6-4,220,0.9248,170,21,13,2008
170,Lawrence Guy,https://247sports.com/Player/Lawrence-Guy-24273,Western,Las Vegas,NV,DL,6-5,265,0.9247,171,11,1,2008
171,Vaughn Telemaque,https://247sports.com/Player/Vaughn-Telemaque-8945,Long Beach Poly,Long Beach,CA,DB,6-2,180,0.9244,172,14,18,2008
172,Dontavius Jackson,https://247sports.com/Player/Dontavius-Jackson-24327,Heard County,Franklin,GA,RB,5-11,195,0.9239,173,16,14,2008
173,Daniel Franklin,https://247sports.com/Player/Daniel-Franklin-21497,Habersham Central,Mount Airy,GA,LB,6-2,233,0.9237,174,8,15,2008
174,Emmanuel Acho,https://247sports.com/Player/Emmanuel-Acho-4565,St. Mark's,Dallas,TX,LB,6-2,210,0.9223,175,22,23,2008
175,Dan McCarthy,https://247sports.com/Player/Dan-McCarthy-7927,Cardinal Mooney,Youngstown,OH,DB,6-2,190,0.9221,176,15,8,2008
176,Terrance Parks,https://247sports.com/Player/Terrance-Parks-6061,Creekside,Fairburn,GA,DB,6-1,200,0.922,177,16,16,2008
177,Brandon Smith,https://247sports.com/Player/Brandon-Smith-24186,New Brunswick,New Brunswick,NJ,DB,6-3,210,0.9218,178,17,3,2008
178,Aaron Hester,https://247sports.com/Player/Aaron-Hester-5811,Compton Dominguez,Compton,CA,DB,6-0,180,0.9217,179,16,19,2008
179,Dejuan Miller,https://247sports.com/Player/Dejuan-Miller-24260,Metuchen,Metuchen,NJ,WR,6-5,200,0.9215,180,25,4,2008
180,Jordan Fields,https://247sports.com/Player/Jordan-Fields-24439,Paris,Paris,TX,DB,6-0,185,0.9213,181,17,24,2008
181,Marvin Jones,https://247sports.com/Player/Marvin-Jones-24301,Etiwanda,Rancho Cucamonga,CA,WR,6-2,177,0.9202,182,26,20,2008
182,Damien Holmes,https://247sports.com/Player/Damien-Holmes-5814,Colton,Colton,CA,DL,6-3,265,0.9188,183,9,21,2008
183,Sam McGuffie,https://247sports.com/Player/Sam-McGuffie-24195,Cy-Fair,Cypress,TX,RB,6-1,188,0.9188,184,17,25,2008
184,D.J. Monroe,https://247sports.com/Player/DJ-Monroe-4631,Angleton,Angleton,TX,DB,5-9,165,0.9187,185,18,26,2008
185,DeAngelo Peterson,https://247sports.com/Player/DeAngelo-Peterson-24368,Desire Street Academy,Baton Rouge,LA,QB,6-3,195,0.9177,186,12,5,2008
186,Patrick Nixon-Youman,https://247sports.com/Player/Patrick-Nixon-Youman-5618,Middleburg,Jacksonville,FL,DB,5-10,180,0.9177,187,19,32,2008
187,Armond Armstead,https://247sports.com/Player/Armond-Armstead-24385,Pleasant Grove,Elk Grove,CA,DL,6-5,287,0.9174,188,12,22,2008
188,R.J. Mattes,https://247sports.com/Player/RJ-Mattes-24289,Jay M Robinson,Concord,NC,OL,6-7,270,0.9173,189,18,6,2008
189,Ryan Bass,https://247sports.com/Player/Ryan-Bass-6661,Centennial,Corona,CA,RB,5-10,186,0.9171,190,18,23,2008
190,Kevin Dorsey,https://247sports.com/Player/Kevin-Dorsey-23751,Forestville Military Academy,District Heights,MD,WR,6-2,210,0.917,191,27,3,2008
191,Kemonte Bateman,https://247sports.com/Player/Kemonte-Bateman-10044,Crenshaw,Pasadena,CA,WR,6-0,180,0.9167,192,28,24,2008
